Tienda;SKU;Código de Barras;Producto;Stock Mínimo (Base);Existencia Actual
"Taller Fundea Geminis/Z.13";"KOC02";"8809328325329";" KOC02 * SLICE STRAWBERRY (6pcs)";11;0
"Taller Fundea Geminis/Z.13";"BAN01";"1000000300001";"BANDITA CABELLO SKIN & B";0;0
"Taller Fundea Geminis/Z.13";"YAD19";"8809340386568";"CACTUS LIP BALM.(01). VANILLA";6;0
"Taller Fundea Geminis/Z.13";"YAD20";"8809340386575";"CACTUS LIP BALM.(02). PEACH";6;0
"Taller Fundea Geminis/Z.13";"YAD21";"8809340386582";"CACTUS LIP BALM.(03). STRAWBERRY ";6;0
"Taller Fundea Geminis/Z.13";"YAD22";"8809340386599";"CACTUS LIP BALM.(04). CHERRY";6;0
"Taller Fundea Geminis/Z.13";"YAD00";"";"CACTUS SOOTHING GEL 15ML";0;0
"Taller Fundea Geminis/Z.13";"YAD11";"8809340385349";"CACTUS SOOTHING GEL 250ML";6;0
"Taller Fundea Geminis/Z.13";"CEN02";"8809576260601";"CENTELLA AMPOULE";0;0
"Taller Fundea Geminis/Z.13";"CEN05";"8809576261110";"Centella Light Cleansing Oil";0;0
"Taller Fundea Geminis/Z.13";"CEN01";"8809913830115";"CENTELLA POREMIZING AMPOULE";0;0
"Taller Fundea Geminis/Z.13";"CEN04";"8809576261462";"CENTELLA POREMIZING AMPOULE 100ML";0;0
"Taller Fundea Geminis/Z.13";"CEN03";"8809913830085";"Centella Poremizing Clay Stick";0;0
"Taller Fundea Geminis/Z.13";"YAD16";"8809340384373";"CHARCOAL CLEANSING NOSE PACK";0;0
"Taller Fundea Geminis/Z.13";"YAD17";"8809340384465";"GREEN TEA PURE CLEANSING BALM";10;0
"Taller Fundea Geminis/Z.13";"HAR11";"8809532221943";"HARU CENTELLA PEPTIDE CREAM REFIL";0;0
"Taller Fundea Geminis/Z.13";"HAR03";"8809532221707";"HARUHARU AIRYFIT SUNSCREEN";6;0
"Taller Fundea Geminis/Z.13";"HAR05";"8809532221523";"HARUHARU BAKUCHIOL EYE CREAM";6;0
"Taller Fundea Geminis/Z.13";"HAR13";"8809532221929";"HARUHARU BAMBOO DAILY SUNSHIELD";6;0
"Taller Fundea Geminis/Z.13";"HAR09";"8809532221813";"haruharu Centella 4% TXA Spot Serum";4;0
"Taller Fundea Geminis/Z.13";"HAR10";"8809532221790";"HARUHARU CENTELLA PEPTIDE CREAM";4;0
"Taller Fundea Geminis/Z.13";"HAR04";"8809532221691";"HARUHARU MINERAL RELIEF SUNSCREEN";6;0
"Taller Fundea Geminis/Z.13";"HAR01";"8809532221721";"HARUHARU RICE HYALURONIC CREAM";4;0
"Taller Fundea Geminis/Z.13";"HAR02";"8809532221462";"HARUHARU RICE HYALURONIC TONER";4;0
